modern_name,old_name_sep,id
"Блонский, С. А.","Блонскій, С. А.",1534
"Блохин, Н. Кондр.","Блохинъ, Н. Кондр.",1138
"Блюммер, Алек. Вас.","Блюммеръ, Алек. Вас.",1275
"Бляклон, Г.","Бляклонъ, Г.",1656
"Боборыкин, Н.","Боборыкинъ, Н.",2069
"Боборыкин, П. Д.","Боборыкинъ, П. Д.",349
"Бобриков, П. М.","Бобриковъ, П. М.",2085
"Бобров, А. А.","Бобровъ, А. А.",1868
"Бобров, П. П.","Бобровъ, П. П.",2155
"Бобровский, Н.","Бобровскій, Н.",2830
"Бобылев, Ф.","Бобылевъ, Ѳ.",475
"Бобынин, В. В.","Бобынинъ, В. В.",1785
"Бобынин, В. В.","Бобынинъ, В. В.",2786
"Богатуров, С. И.","Богатуровъ, С. И.",1355
"Богданов, В. М.","Богдановъ, В. М.",1886
"Богданов, В. М.","Богдановъ, В. М.",1886
"Богданов, Вл.","Богдановъ, Вл.",2785
"Богданов, М.","Богдановъ, М.",1006
"Богданов, М. Н.","Богдановъ, М. Н.",906
"Богданов, М. Н.","Богдановъ, М. Н.",992
"Богданов, Ник. Ант.","Богдановъ, Ник. Ант.",1265
"Богданов, С. М.","Богдановъ, С. М.",1673
"Богданов, С. М.","Богдановъ, С. М.",1673
"Богданович, А. И.","Богдановичъ, А. И.",1414
"Богданович, И. Ф.","Богдановичъ, И. Ѳ.",3
"Богданович, И. Ф.","Богдановичъ, И. Ѳ.",11
"Богданович, И. Ф.","Богдановичъ, И. Ѳ.",37
"Богданович, И. Ф.","Богдановичъ, И. Ѳ.",65
"Богданович, И. Ф.","Богдановичъ, И. Ѳ.",66
"Богданович, Николай","Богдановичъ, Николай",1194
"Богданович, П. Ф.","Богдановичъ, П. Ѳ.",67
"Богдановский, А.","Богдановскій, А.",304
"Богдановский, Н.","Богдановскій, Н.",1516
"Богдановский, проф.","Богдановскій, проф.",1027
"Богельман, И. А.","Богельманъ, И. А.",2075
"Богельман, И. А.","Богельманъ, И. А.",2167
"Богельман, И. А.","Богельманъ, И. А.",1267
"Богинский, П. И.","Богинскій, П. И.",1031
"Богомолов, Т. И.","Богомоловъ, Т. И.",2271
"Богомолов, Т. И.","Богомоловъ, Т. И.",2271
"Богородицкий, И.","Богородицкій, І.",369
"Богородицкий, И.","Богородицкій, І.",1675
"Богословский, В. С.","Богословскій, В. С.",2429
"Богословский, Н.","Богословскій, Н.",849
"Богоявленский, С. К.","Богоявленскій, С. К.",2226
"Богров, Г. И.","Богровъ, Г. И.",1387
"Богуславская, М.","Богуславская, М.",1549
"Богушевич, Ек. Ал.","Богушевичъ, Ек. Ал.",830
"Богушевич, Ю. М.","Богушевичъ, Ю. М.",647
"Богушевич, Ю. М.","Богушевичъ, Ю. М.",911
"Богушевич, Ю. М.","Богушевичъ, Ю. М.",1005
"Богушевич, Ю. М.","Богушевичъ, Ю. М.",1304
"Богушевич, Ю. М.","Богушевичъ, Ю. М.",1305
"Богушевич, Ю. М.","Богушевичъ, Ю. М.",1514
"Бодров, П. П.","Бодровъ, П. П.",2222
"Бодянский, О. М.","Бодянскій, О. М.",469
"Бодянский, О. М.","Бодянскій, О. М.",591
"Бодянский, П. Н.","Бодянскій, П. Н.",2618
"Божерянов, И. Н.","Божеряновъ, И. Н.",1919
"Божковский, Сем. Вас.","Божковскій, Сем. Вас.",1256
"Болдырева, Е. И.","Болдырева, Е. И.",1482
"Болдырева, Е. И.","Болдырева, Е. И.",1482
"Болдырева, Е. И.","Болдырева, Е. И.",1922
"Болотов, А. Т.","Болотовъ, А. Т.",6
"Болотов, А. Т.","Болотовъ, А. Т.",44
"Болотов, А. Т.","Болотовъ, А. Т.",48
"Боргман, И.","Боргманъ, И.",993
Борисенко,"Борисенко,",735
"Борисенко, М.","Борисенко, М.",2380
"Борисов, Н.","Борисовъ, Н.",1207
"Борисов, Н.","Борисовъ, Н.",2102
"Борисов, Н.","Борисовъ, Н.",2111
"Борисов, Н.","Борисовъ, Н.",2113
"Борисов, Я. В.","Борисовъ, Я. В.",988
"Борисов, Я. В.","Борисовъ, Я. В.",1087
"Борисполец, А. Т.","Борисполецъ, А. Т.",121
"Борман, Э. Н.","Борманъ, Э. Н.",2839
"Борн, И. М.","Борнъ, И. М.",129
"Боровский, М. П.","Боровскій, М. П.",444
"Бородавкин, М.","Бородавкинъ, М.",114
"Бородин, А. Н.","Бородинъ, А. Н.",452
"Бородин, А. П.","Бородинъ, А. П.",1558
"Бородин, В. П.","Бородинъ, В. П.",988
"Бородин, В. П.","Бородинъ, В. П.",1087
"Бородин, Д. Н.","Бородинъ, Д. Н.",2660
"Бородин, И. П.","Бородинъ, И. П.",1541
